"cod_municipio","arquivo","cnpj","razao_social","ano_do_relatorio","cod_agencia","nome_municipio","nome_agencia","pesquisa","tipo","bbox.1","bbox.2","bbox.3","bbox.4","endereco_google"
"2927408","../data/2012/paic_comum.csv","07612487.0001-02","CONSTRUTORA GIL FERREIRA LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"BROTAS, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","15122187.0001-73","CONSTRUTORA J VICENTE LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"COMERCIO, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","00408291.0001-51","CONSTRUTORA KAZZA LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"RIO VERMELHO, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","14681142.0001-76","CONSTRUTORA LA MACCHIA LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"BROTAS, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","96803747.0001-57","CONSTRUTORA LINK LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PITUBA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","02962945.0001-10","CONSTRUTORA LUCAIA LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PITUBA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","13623962.0001-49","CONSTRUTORA MAURICIO CAVALCANTI",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PITUBA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","16493405.0001-49","CONSTRUTORA MESTRE SILVA LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"ENG VELHO DE BROTAS, Salvador, BA, Brazil"
"2927408","../data/2012/pas_comum.csv","11332564.0001-48","JOTA UM COMERCIAL BAR TURISMO E LAZER LTDA",2011,"292740806","Salvador","Salvador","pas","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PRAÇA DOS TUPINAMB S , 02 - COMERCIO, Salvador, BA, Brazil"
"2927408","../data/2012/pas_comum.csv","16168452.0001-17","JOTAFER ALIMENOS E PROMOÇ´ ES LTDA",2011,"292740806","Salvador","Salvador","pas","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"RUA ARTHU DE AZEVEDO MACHADO , 317 - SL 06 - COSTA AZUL, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","40622110.0001-00","CONSTRUTORA N&H LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"VALERIA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","74190620.0001-77","CONSTRUTORA NM LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAB SUSSUARANA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","07435665.0001-77","CONSTRUTORA PORTO FINO LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAMINHO DAS ARVORES, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","13027628.0001-22","CONSTRUTORA SEGURA LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PITUBA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","11929342.0001-07","CONSTRUTORA SSA LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"DOIS DE JULHO, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","07392618.0001-93","CONSTRUTORA TERRA SANTA LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAMINHO DAS ARVORES, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","33917964.0001-58","CONSTRUTORA TOTAL LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"ONDINA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","04452328.0001-08","CONSTRUTORA VERTI LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAMINHO DAS ARVORES, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","00991667.0001-01","CONSTRUTORA VOLQUE LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"IMBUI, Salvador, BA, Brazil"
"2927408","../data/2012/paic_vip.csv","14828958.0001-80","JOTAGE ENGENHARIA COMERCIO E",2011,"292740806","Salvador","Salvador","paic","vip",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"BROTAS, Salvador, BA, Brazil"
"2927408","../data/2012/paic_vip.csv","02933119.0001-42","JT LOCACAO E SERVICOS LTDA",2011,"292740806","Salvador","Salvador","paic","vip",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"DOM AVELAR, Salvador, BA, Brazil"
"2927408","../data/2012/paic_vip.csv","07456769.0001-68","JWS CONSTRU ² ES LTDA",2011,"292740806","Salvador","Salvador","paic","vip",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"BROTAS, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","04839283.0001-10","A AMPLAVISAO CIA TECNICA LTDA",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"RUA PINHEIRO VIEGAS , 106 - DANIEL LISBOA - BROTAS, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","14701296.0001-82","A BOLSA MODERNA CALCADOS E CONFECCOES LTDA",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"CAMINHO 14 , QUADRA A , FAZENDA GRANDE I , 09 - CAJAZEIRAS, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","07324514.0001-41","CONTRUTORA BSM LTDA",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"PITUBA, Salvador, BA, Brazil"
"2927408","../data/2012/paic_comum.csv","01210801.0001-44","COSBAT EMPREENDIMENTOS IMOBILIARIOS",2011,"292740806","Salvador","Salvador","paic","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"ONDINA, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","11094972.0001-09","A GERAL MINIMERCADO",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"ESTRADA DE CAMPINAS , S / N - 283 - SAO CAETANO, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","15112196.0001-83","A GOMES & IRMÃO LTDA",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"LADEIRA DA GUA BRUSCA , 98 - SANTO ANTÔNIO, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","13280466.0001-30","A JUSTINO & CIA LTDA",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"AEROPORTO DEP . LUIZ EDUARDO MAGALHÃES , SN , LJ 2038 , S / N - PAV . SUPERIOR - SÃO CRITOVÃO, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","07072914.0001-07","A L CERQUEIRA REIS",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"RUA DO ROSARIO , 40 - SALA 08 - DOIS DE JULHO, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","10875026.0001-37","A L M COMERCIO",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"RODOVIA BA 526 , 1 - KM 5 GALPAO 03 - AREIA BRANCA, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","13929252.0001-41","A LUMINARIA ARTIGOS ELETRICOS LTDA",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"RUA BARAO DE COTEGIPE , 122 - CALCADA, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","15128762.0001-45","A PRIMORDIALMÓVEIS LTDA",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"RUA MARTINIANO BONFIM , S / N - RETIRO, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","14935928.0001-72","A . A GUIMARÃES NETO",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"AV ANTONIO CARLOS MAGALHAES , 656 - LOJA07 , TERREO - SHOP ITAIGARA PITUBA, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","07149350.0001-63","A . N . A EXPORTA §ÃO E IMPORTA §ÃO LTDA",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"AVENIDA EUCLIDES DA CUNHA , 170 - GRAÇA, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","07832250.0001-37","A . R COM E MANUTENCAO REPS . LTDA ME",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"AVENIDA ESTADOS UNIDOS 528 SALA 1213 , 528 - ED JOAQUIM BARR - COMERCIO, Salvador, BA, Brazil"
"2927408","../data/2012/pac_comum.csv","06345119.0001-82","A&J COMERCIO E DECORACOES LTDA",2011,"292740806","Salvador","Salvador","pac","comum",-38.699264044,-12.7335624114062,-38.3040374177826,-13.0173807134146,"AL DAS ESPATODEAS , 137 - CAMINHO DAS ARVORES, Salvador, BA, Brazil"
