sigla da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;bairro;Ano do RelatÛrio
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;09147949.0001-93;CVT MODAS LTDA;AV . SENHOR DOS PASSOS , 1381 - TERREO - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;06238872.0001-79;D D M MERCADINHO LTDA;RUA FREI AURELIANO GROTAMARI , 128 - SANTA MONICA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;06787012.0001-94;D DE ALMEIDA DE FEIRA DE SANTANA;RUA CABO FRIO , 142 - A - CAMPO LIMPO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;01167484.0001-20;D E A COMERCIO DE VIDROS LTDA;AV MARIA QUITERIA , 1900 - . - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;08358979.0001-86;DAG DAG CONFEC«¥ ES LTDA;RUA SALES BARBOSA , 84 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;00818824.0001-73;DAS REPRESENTACOES LTDA;RUA BATISTAO , 52 - A - CONJ JOAO PAULO II;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;08585340.0001-33;DAVIS;RUA MARECHAL DEODORO , 133 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;10798382.0001-02;DAYANNE OLIVEIRA DOS SANTOS ME;AVENIDA MARIA QUITERIA , 3577 - 1OANDAR SALA 04 - SAO JOAO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;06283750.0001-02;DB ATACADISTA DE ARTIGOS PARA LIMPEZA LTDA;AV EDUARDO FROES DA MOTA , 2221 - B - CONCEI ß√O;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;09372851.0001-30;DEGRAD COM…RCIO DE M”VEIS LTDA;RUA ORI«ANGAS , 380 - CHACARA S√O COSME;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;09612327.0001-99;DETALHE COMERCIO DE M”VEIS LTDA;RUA MARECHAL DEODORO , 137 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;01674378.0001-33;DI RICARTTI DISTRIBUIDORA DE AUTO PE«AS LTDA;AV RIO DE JANEIRO , 724 - PEDRA DO DESCANSO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;13672565.0001-67;DIESEL HIDRAULICA LTDAME;RODOVIA FEIRA S O GON ALO , 1564 , S / N - TOMBA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;07182178.0001-40;DIMIX DISTRIBUIDORA DE UTILIDADES LTDA;AV EDUARDO FROES DA MOTA , 221 - A - CONCEI ß√O;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;02129836.0001-16;DISTRIBUIDO DE ALIMENTOS OLISILBAR LTDA;RUA MORRO DA SERRA , 55 - CONCEI ß√O;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;13406624.0001-55;DISTRIBUIDORA ARRUDA COMERCIO E TRANSPORTES;RODOVIA BR 324 KM 11 , S / N - FEIRA A SALVADOR;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;96759147.0001-39;DISTRIBUIDORA BAIANA DE OCULOS LTDA;RUA VISCONDE DO RIO BRANCO , 83 - SEM COMPLEMENTO - CAMPO LIMPO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;13731542.0001-86;DISTRIBUIDORA DE DOCES E TRANSPORTES;RUA JJ SEABRA , 124 - TERREO - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;02805389.0001-78;DISTRIBUIDORA MESQUITA DE PRODUTOS;RUA ARIVALDO DE CARVALHO , 132 - FEIRA DE SANTANA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;09590687.0001-37;DISTRIBUIDORA SANTOS DE PROD HOT LTDA;RUA ANTONIO M DE MELLO 132 , 132 - SOBRADINHO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;11842548.0001-03;DL TELECOM TRANSPORTES E SERVICOS LTDA;RUA VISCONDE DE BARBACENA 156 , S / N - . - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;13141935.0001-30;DNANA COMERCIO E IND DE CONFECCOES LTDA;RUA ARIVALDO DE CARVALHO 80 , S / N - SOBRADINHO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;03975276.0001-83;DOCE FEIRA DISTRIBUIDORA LTDA;AV SAO SALVADOR 331 , S / N - . - CIS;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;13144841.0001-14;DOMINIO INDUSTRIA E COMERCIO DE CONFECCO;RUA JOSE TAVARES CARNEIRO , 50 , S / N - BARAUNAS;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;14073241.0001-75;DORILZO DOREA COMERCIAL LTDA;RUA VISCONDE DO RIO BRANCO , 899 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;04222317.0001-23;DQB DISTRIBUIDORA QUALIFICADA BAHIANA DE;AV DAS INDUSTRIAS 93 , S / N - . - TOMBA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;06277804.0001-19;E G DOS SANTOS DE FEIRA DE SANTANA;AV GETULIO VARGAS , 950 - . - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;08369797.0001-00;E G SOUZA;RUA VISCONDE DE BARBACENA , 156 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;40604159.0001-30;E II INFORMATICA LTDA;RUA GEORGINA ERISMAN , 82 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;06316565.0001-69;E . A DOS REIS;PRA«A JO√O BARBOSA DE CARVALHO , 111 - 121 - QUEIMADINHA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;04105652.0001-41;E . R . DE SOUSA & CIA LTDA;AV EDUARDO FROES DA MOTA , 2900 - SANTA MONICA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;96822911.0001-73;EB MATERIAIS DE CONSTRUCAO LTDA;RUA DESEMBARGADOR FILINTO BASTOS , 346 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;41976143.0001-10;ECASA COMERCIO DE ARTIGOS DO LAR LTDA;AV GETULIO VARGAS 116 , 116 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;05771741.0001-90;ELI CLAUDIA PINTO BORGES SILVA;RUA NATAL , 126 - RUA NOVA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;03902176.0001-27;ENIVALDO COMERCIO DE APARAS DE PAPEL VELHO;RUA RIO PURUS , 129 - BRASILIA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;04467958.0001-48;ENZO DERIVADOS DE PETROLEO LTDA ME;PROFESSOR FERNANDO SAO PAULO , 70 - SALA 03 - PONTO CENTRAL;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;08306226.0001-27;ESPLENDOR DA MODA COMERCIO DE ROUPAS LTDA;AV . SENHOR DOS PASSOS , 1332 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;01587855.0001-23;ESSENCIAS VITAE FARMACIA DE MANIPULA ß√O LTDA;RUA CASTRO ALVES , 1231 - CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;05612928.0001-40;ESTRELA COMERCIO DE MOVEIS LTDA;EDUARDO FROES DA MOTA , 2221 - CAMPO DO GADO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;04423107.0001-01;ET COMERCIO DE COMPONENTES LTDA;AV EDUARDO FROES DA MOTA , 3200 - SANTA MONICA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;10015283.0001-07;EUNICE MOREIRA DA SILVA;RUA JANDAIA , 627 - LOJA - PARQUE IPE;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;08458603.0001-43;F J A DINIZ UTILIDADES ME;RUA BANEB , 133 - CISTOMBA;2011
